date,open,high,low,close,amount,volume,reserve
20110829,2595.47,2595.47,2570.84,2576.41,78406746112.0,73696094,47448281
20110830,2592.6,2615.14,2563.69,2566.59,79541813248.0,75910686,46661843
20110831,2566.53,2574.42,2545.1,2567.34,62236266496.0,59169720,34931077
20110901,2569.8,2584.8,2547.85,2556.04,59881558016.0,57290926,43385100
20110902,2551.56,2557.31,2517.62,2528.28,55969021952.0,54436581,52428944
20110905,2510.1,2510.1,2478.2,2478.74,56402276352.0,55031066,56623186
20110906,2465.57,2482.24,2459.54,2470.52,50140332032.0,49223173,36569432
20110907,2480.94,2516.75,2475.22,2516.09,61951467520.0,59665860,1180595
20110908,2523.96,2524.38,2498.11,2498.94,60046843904.0,55271952,50200732
20110909,2506.97,2528.42,2487.14,2497.75,53535158272.0,51253379,34603389
20110913,2467.73,2477.08,2453.8,2471.3,51851702272.0,49930918,52494490
20110914,2478.59,2485.93,2439.37,2484.83,54761652224.0,54065977,8651569
20110915,2482.86,2496.57,2477.65,2479.05,55860903936.0,56003688,32833916
20110916,2490.18,2499.48,2475.76,2482.34,49584869376.0,47986853,32047512
20110919,2469.6,2469.6,2437.17,2437.79,48599666688.0,48746822,56754268
20110920,2433.72,2460.03,2426.7,2447.76,47956373504.0,46265892,16843420
20110921,2450.12,2517.67,2438.85,2512.96,88188035072.0,86689276,525254
20110922,2491.21,2499.98,2442.46,2443.06,74891288576.0,74695409,60096560
20110923,2411.83,2440.75,2400.14,2433.16,67947196416.0,67302692,43319574
20110926,2416.23,2441.73,2384.64,2393.18,58915926016.0,57425041,56557657
20110927,2410.99,2423.91,2395.16,2415.05,55315103744.0,55231432,13894343
20110928,2427.29,2430.27,2383.4,2392.06,55720882176.0,55758446,54722680
20110929,2378.42,2387.54,2358.57,2365.34,57021448192.0,59191239,56950870
20110930,2368.4,2377.54,2348.22,2359.22,46104608768.0,48818372,32440748
20111010,2363.08,2368.15,2338.69,2344.79,39926411264.0,41745306,39452973
20111011,2401.74,2412.38,2323.41,2348.52,62773514240.0,63975805,27132401
20111012,2335.49,2421.69,2318.63,2420.0,84438392832.0,91508567,525253
20111013,2412.83,2439.64,2406.28,2438.79,82192310272.0,87860106,9306922
20111014,2429.88,2437.59,2409.29,2431.37,58276065280.0,60673159,43647234
20111017,2434.49,2452.99,2424.73,2440.4,57704517632.0,58267682,26804713
20111018,2423.28,2425.65,2378.67,2383.49,69338906624.0,79525744,60489781
20111019,2387.83,2401.69,2374.42,2377.51,53173514240.0,58534637,36897117
20111020,2365.91,2368.64,2315.9,2331.37,57867763712.0,65425215,59768896
20111021,2330.51,2340.31,2313.78,2317.28,43725377536.0,48436725,48234708
20111024,2322.02,2371.09,2307.15,2370.33,62971555840.0,70874070,5440376
20111025,2366.4,2414.05,2357.39,2409.67,83635003392.0,90888876,1377210
20111026,2398.19,2448.98,2394.73,2427.48,98578022400.0,107447168,15794856
20111027,2432.47,2449.7,2426.32,2435.61,75098562560.0,82408961,27525623
20111028,2462.08,2483.76,2456.18,2473.41,104186691584.0,110032721,2032548
20111031,2470.25,2478.31,2455.2,2468.25,81783447552.0,84172562,29557219
20111101,2450.33,2491.36,2445.53,2470.02,85052776448.0,88892417,33554847
20111102,2437.87,2505.12,2433.72,2504.11,102082764800.0,105468199,7144273
20111103,2510.84,2535.24,2507.3,2508.09,136305606656.0,136576325,19989106
20111104,2525.24,2536.78,2512.9,2528.29,99981180928.0,101873674,14353101
